Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/07  03:00:00,15769573.84952413,2226600.0926204654,2226600.0926204654,2226600.0926204654,13352729.855833625,0.0 
 02/07  04:00:00,18428312.666467477,2171740.4070940726,2171740.4070940726,2171740.4070940726,14416953.248811929,1649375.1094914374 
 02/07  05:00:00,17239110.629844677,2335718.210080423,2335718.210080423,2335718.210080423,14708864.248437703,0.0 
 02/07  06:00:00,18325338.269279964,2902111.397117286,2902111.397117286,2902111.397117286,15221736.761669287,0.0 
 02/07  07:00:00,20091497.827505384,3490045.529346395,3490045.529346395,3490045.529346395,14785634.483655887,1800822.8686052985 
 02/07  08:00:00,20524253.90681764,3872409.4070758065,3872409.4070758065,3872409.4070758065,12948087.925852658,3690368.2293375656 
 02/07  09:00:00,17460723.44081389,3436548.288166884,3436548.288166884,3436548.288166884,12159725.594078438,1858558.686965864 
 02/07  10:00:00,14647895.318470225,3287629.4627914913,3287629.4627914913,3287629.4627914913,9509694.815596195,1846554.5367170582 
 02/07  11:00:00,11343740.4743485,3359522.254572048,3359522.254572048,3359522.254572048,6160676.183086408,1819525.5333245618 
 02/07  12:00:00,9302437.889766721,3405817.7973429887,3405817.7973429887,3405817.7973429887,4101558.2949734684,1791045.294084782 
 02/07  13:00:00,7976836.781579807,3343416.5845005065,3343416.5845005065,3343416.5845005065,2859733.495148236,1769670.1985655818 
 02/07  14:00:00,6223451.454999892,3277253.218523652,3277253.218523652,3277253.218523652,1186901.2771113429,1755280.455999414 
 02/07  15:00:00,5173633.902335175,3272159.2094632606,3272159.2094632606,3272159.2094632606,154285.71428571438,1743172.475220719 
 02/07  16:00:00,4630771.730210059,3549357.552769049,3549357.552769049,3549357.552769049,476487.30238548695,597964.9358886874 
 02/07  17:00:00,7345046.443195342,4479188.816479392,4479188.816479392,4479188.816479392,1701601.9218826427,1149260.7589355065 
 02/07  18:00:00,8955048.789255314,5624286.233621349,5624286.233621349,5624286.233621349,1532897.449189205,1776979.2889442504 
 02/07  19:00:00,10079814.105523277,6045788.3062472865,6045788.3062472865,6045788.3062472865,2013228.710690323,1804579.799085508 
 02/07  20:00:00,10493052.440500308,5971945.160957614,5971945.160957614,5971945.160957614,2490588.153611335,1811259.030851289 
